Taux de chômage selon le sexe et l'âge,,en %,Sexe et âge,Femmes ,15-24 ans,25-49 ans,50 ans ou plus,Hommes,15-24 ans,25-49 ans,50 ans ou plus,Ensemble ,15-24 ans,25-49 ans,50 ans ou plus,Taux de chômage de longue durée,nd : donnée non disponible.,"Note : chômage au sens du Bureau International du Travail (BIT) ; données corrigées des variations saisonnières, en moyenne trimestrielle.","Lecture : au 3e trimestre 2024, le taux de chômage au sens du BIT est de 7,4 %.","Champ : France hors Mayotte, personnes de 15 ans ou plus vivant en logement ordinaire.","Source : Insee, enquêtes Emploi annuelles jusqu'en 2002 ; enquête Emploi en continu à partir de 2003."
Unnamed: 62,,,1990-T2,10.2,21.4,8.6,6,6.3,13,5.4,4.3,8,16.8,6.8,5.1,nd,,,,,
Unnamed: 63,,,1990-T3,10.1,21.2,8.5,6.1,6.3,13,5.4,4.3,8,16.7,6.8,5.1,nd,,,,,
Unnamed: 64,,,1990-T4,10,21.5,8.5,6.1,6.3,13.1,5.4,4.4,8,16.9,6.8,5.1,nd,,,,,
Unnamed: 65,,,1991-T1,10,21.8,8.4,6.3,6.3,12.9,5.5,4.4,7.9,17,6.8,5.2,nd,,,,,
Unnamed: 66,,,1991-T2,10.1,22.4,8.4,6.4,6.4,13.2,5.6,4.5,8.1,17.4,6.9,5.4,nd,,,,,
Unnamed: 67,,,1991-T3,10.3,23,8.7,6.6,6.6,13.3,5.8,4.8,8.3,17.7,7.1,5.6,nd,,,,,
Unnamed: 68,,,1991-T4,10.6,23.2,9,6.8,6.8,13.4,6,5,8.5,17.8,7.3,5.8,nd,,,,,
Unnamed: 69,,,1992-T1,10.8,23.8,9.2,6.9,7.1,13.7,6.2,5.3,8.7,18.3,7.6,6,nd,,,,,
Unnamed: 70,,,1992-T2,10.9,23.9,9.4,6.9,7.3,14.1,6.4,5.5,8.9,18.5,7.8,6.1,nd,,,,,
Unnamed: 71,,,1992-T3,11,24.4,9.5,6.8,7.6,15.1,6.7,5.5,9.1,19.3,7.9,6,nd,,,,,
Unnamed: 72,,,1992-T4,11.1,25,9.5,6.6,7.9,16,7,5.4,9.3,20.1,8.1,5.9,nd,,,,,
Unnamed: 73,,,1993-T1,11.2,25.6,9.6,6.3,8.2,16.8,7.4,5.3,9.6,20.8,8.4,5.7,nd,,,,,
Unnamed: 74,,,1993-T2,11.3,26.3,9.8,6.2,8.6,17.8,7.8,5.4,9.9,21.7,8.7,5.7,nd,,,,,
Unnamed: 75,,,1993-T3,11.6,27,10,6.2,9,18.6,8.2,5.6,10.2,22.5,9,5.8,nd,,,,,
Unnamed: 76,,,1993-T4,11.8,27.5,10.3,6.3,9.4,19.1,8.5,5.8,10.5,23,9.4,6,nd,,,,,
Unnamed: 77,,,1994-T1,12,28.2,10.6,6.2,9.6,19.7,8.7,5.9,10.7,23.6,9.6,6,nd,,,,,
Unnamed: 78,,,1994-T2,12.1,28.9,10.7,6,9.6,20.1,8.7,5.8,10.7,24,9.6,5.9,nd,,,,,
Unnamed: 79,,,1994-T3,12.1,29.1,10.7,6,9.4,19.3,8.6,5.8,10.6,23.7,9.6,5.9,nd,,,,,
Unnamed: 80,,,1994-T4,11.9,29,10.5,6,9.1,18.3,8.4,5.7,10.4,23.2,9.4,5.9,nd,,,,,
Unnamed: 81,,,1995-T1,11.8,28.7,10.3,6.1,8.8,17.4,8.2,5.8,10.2,22.6,9.2,5.9,nd,,,,,
Unnamed: 82,,,1995-T2,11.5,27.7,10.2,6.1,8.6,16.6,8,5.8,9.9,21.7,9,5.9,nd,,,,,
Unnamed: 83,,,1995-T3,11.3,26.8,10.1,6,8.5,16.1,8,5.8,9.8,21,8.9,5.9,nd,,,,,
Unnamed: 84,,,1995-T4,11.4,27.1,10.2,6,8.7,17,8.1,5.8,9.9,21.6,9.1,5.9,nd,,,,,
Unnamed: 85,,,1996-T1,11.7,27.5,10.5,6.4,9,17.6,8.3,6.1,10.2,22.1,9.3,6.2,nd,,,,,
Unnamed: 86,,,1996-T2,11.9,28.1,10.6,6.5,9.3,18.6,8.5,6.3,10.5,22.9,9.5,6.4,nd,,,,,
Unnamed: 87,,,1996-T3,11.9,28.7,10.6,6.7,9.4,19.1,8.6,6.3,10.5,23.4,9.5,6.5,nd,,,,,
Unnamed: 88,,,1996-T4,11.8,29,10.5,6.8,9.6,19.6,8.8,6.3,10.6,23.8,9.6,6.5,nd,,,,,
Unnamed: 89,,,1997-T1,11.8,29.1,10.5,6.9,9.7,19.9,8.9,6.4,10.7,24,9.7,6.6,nd,,,,,
Unnamed: 90,,,1997-T2,11.8,28.8,10.6,6.9,9.7,19.8,9,6.4,10.7,23.8,9.7,6.6,nd,,,,,
Unnamed: 91,,,1997-T3,11.8,28.3,10.7,6.9,9.6,19.4,9,6.4,10.6,23.4,9.8,6.7,nd,,,,,
Unnamed: 92,,,1997-T4,11.8,27.7,10.7,6.9,9.5,18.9,8.8,6.5,10.5,22.9,9.7,6.7,nd,,,,,
Unnamed: 93,,,1998-T1,11.6,26.6,10.6,7,9.2,18.4,8.5,6.5,10.3,22.1,9.5,6.7,nd,,,,,
Unnamed: 94,,,1998-T2,11.5,26.2,10.5,7,9.1,18.3,8.3,6.6,10.2,21.9,9.3,6.8,nd,,,,,
Unnamed: 95,,,1998-T3,11.4,26.2,10.5,7,9,18.9,8.2,6.7,10.1,22.1,9.2,6.8,nd,,,,,
Unnamed: 96,,,1998-T4,11.4,26.3,10.5,7,9.1,19.5,8.2,6.7,10.2,22.5,9.2,6.8,nd,,,,,
Unnamed: 97,,,1999-T1,11.4,26.7,10.5,6.9,9.2,20.2,8.2,6.7,10.2,23,9.3,6.8,nd,,,,,
Unnamed: 98,,,1999-T2,11.3,26.4,10.4,6.9,9.1,19.9,8.2,6.6,10.2,22.8,9.2,6.8,nd,,,,,
Unnamed: 99,,,1999-T3,11.1,25.4,10.2,6.8,8.8,18.9,7.9,6.4,9.9,21.7,9,6.6,nd,,,,,
Unnamed: 100,,,1999-T4,10.7,23.9,9.9,6.6,8.4,17.5,7.6,6.1,9.5,20.4,8.7,6.3,nd,,,,,
Unnamed: 101,,,2000-T1,10.3,22.4,9.6,6.4,8,16.2,7.3,5.8,9.1,19,8.4,6.1,nd,,,,,
Unnamed: 102,,,2000-T2,9.9,21.3,9.3,6.2,7.6,15.4,6.9,5.5,8.7,18,8,5.8,nd,,,,,
Unnamed: 103,,,2000-T3,9.6,20.5,9.1,6,7.2,14.8,6.6,5.1,8.4,17.4,7.8,5.5,nd,,,,,
Unnamed: 104,,,2000-T4,9.4,20.1,8.8,5.7,6.9,14.4,6.3,4.7,8,16.9,7.5,5.2,nd,,,,,
Unnamed: 105,,,2001-T1,9.2,20,8.7,5.5,6.6,14.2,6,4.4,7.8,16.8,7.3,4.9,nd,,,,,
Unnamed: 106,,,2001-T2,9.1,19.8,8.5,5.5,6.5,14.2,6,4.3,7.7,16.7,7.2,4.9,nd,,,,,
Unnamed: 107,,,2001-T3,8.9,19.6,8.4,5.5,6.7,14.8,6.1,4.4,7.7,17,7.2,4.9,nd,,,,,
Unnamed: 108,,,2001-T4,8.8,19.9,8.2,5.2,6.9,15.3,6.3,4.5,7.8,17.3,7.2,4.8,nd,,,,,
Unnamed: 109,,,2002-T1,8.7,20,8,5.2,7.1,15.6,6.5,4.6,7.8,17.5,7.2,4.9,nd,,,,,
Unnamed: 110,,,2002-T2,8.6,19.7,8,5.4,7.2,15.9,6.6,4.8,7.9,17.6,7.2,5.1,nd,,,,,
Unnamed: 111,,,2002-T3,8.7,19.4,8.1,5.4,7.2,16.6,6.4,4.9,7.9,17.8,7.2,5.1,nd,,,,,
Unnamed: 112,,,2002-T4,8.7,20.1,8.1,5.2,7.3,16.9,6.4,4.9,7.9,18.3,7.2,5,nd,,,,,
Unnamed: 113,,,2003-T1,9.3,22.8,8.6,4.8,7.6,16,7,4.9,8.4,19.1,7.8,4.8,2.2,,,,,
Unnamed: 114,,,2003-T2,9.4,23.3,8.6,5.5,7.7,17.8,7,4.7,8.5,20.3,7.8,5.1,2.2,,,,,
Unnamed: 115,,,2003-T3,9.1,21.4,8.4,5.5,7.8,18.4,6.9,5.2,8.4,19.7,7.6,5.3,2.2,,,,,
Unnamed: 116,,,2003-T4,9.5,23.3,8.6,5.9,8.1,19.3,7.3,5.1,8.8,21.1,7.9,5.5,2.4,,,,,
Unnamed: 117,,,2004-T1,10,24.4,8.9,6.6,8.1,19.2,7.3,5,9,21.6,8.1,5.7,2.3,,,,,
Unnamed: 118,,,2004-T2,9.5,24.6,8.6,5.3,8.1,19,7.2,5.5,8.8,21.5,7.9,5.4,2.3,,,,,
Unnamed: 119,,,2004-T3,9.6,24.9,8.7,5.3,8.2,19.5,7.3,4.9,8.8,22,8,5.1,2.3,,,,,
Unnamed: 120,,,2004-T4,9.5,24.8,8.6,5.6,8.3,19.4,7.7,4.7,8.9,21.8,8.1,5.2,2.5,,,,,
Unnamed: 121,,,2005-T1,9.2,24.1,8.4,5.4,8.2,19.4,7.5,4.6,8.6,21.5,7.9,5,2.4,,,,,
Unnamed: 122,,,2005-T2,9.5,24.6,8.7,5,8.2,19,7.6,4.6,8.8,21.5,8.1,4.8,2.5,,,,,
Unnamed: 123,,,2005-T3,9.9,27.2,8.7,5.6,8.2,19.8,7.4,4.9,9,23.2,8,5.2,2.5,,,,,
Unnamed: 124,,,2005-T4,10,26.9,9,5.4,8.2,19.6,7.3,5.4,9.1,22.9,8.1,5.4,2.3,,,,,
Unnamed: 125,,,2006-T1,10,27.6,8.9,5.3,8.4,21.1,7.4,5.3,9.2,24.1,8.1,5.3,2.4,,,,,
Unnamed: 126,,,2006-T2,9.6,27.4,8.2,5.8,8.4,20.8,7.5,5.2,9,23.7,7.8,5.5,2.5,,,,,
Unnamed: 127,,,2006-T3,9.8,28.9,8.5,5.4,8.1,19,7.3,5,8.9,23.5,7.9,5.2,2.5,,,,,
Unnamed: 128,,,2006-T4,8.6,25,7.6,4.8,8.1,21,6.9,5.2,8.4,22.8,7.3,5,2.4,,,,,
Unnamed: 129,,,2007-T1,9,26.4,7.7,5.3,8,19.2,7.2,5.2,8.5,22.5,7.4,5.3,2.4,,,,,
Unnamed: 130,,,2007-T2,8.6,24,7.6,4.9,7.7,18.8,7,4.6,8.1,21.2,7.3,4.7,2.1,,,,,
Unnamed: 131,,,2007-T3,8.2,22,7.6,4.5,7.7,18.2,7,4.7,8,19.9,7.3,4.6,2.1,,,,,
Unnamed: 132,,,2007-T4,7.8,22.7,6.9,4.3,7.1,17.6,6.4,4.2,7.5,19.9,6.6,4.2,1.9,,,,,
Unnamed: 133,,,2008-T1,7.5,21.4,6.6,4,6.9,16.7,6.2,4.3,7.2,18.9,6.4,4.1,1.9,,,,,
Unnamed: 134,,,2008-T2,7.7,21.9,6.8,4.4,6.9,17.8,5.9,4.9,7.3,19.6,6.4,4.7,1.9,,,,,
Unnamed: 135,,,2008-T3,7.8,22.1,6.9,4.5,7.1,19,6.1,4.4,7.4,20.4,6.5,4.5,1.8,,,,,
Unnamed: 136,,,2008-T4,8.2,23.8,7.3,4.4,7.3,20.2,6.2,4.3,7.8,21.8,6.7,4.3,1.7,,,,,
Unnamed: 137,,,2009-T1,8.8,25.9,7.7,4.8,8.4,22.6,7.3,4.8,8.6,24.1,7.5,4.8,1.7,,,,,
Unnamed: 138,,,2009-T2,9.3,26.6,8.1,5.5,9.1,24,8,5.1,9.2,25.2,8,5.3,2,,,,,
Unnamed: 139,,,2009-T3,9.4,26.9,8.3,5.1,9,24.2,7.8,5.5,9.2,25.5,8,5.3,2.1,,,,,
