Évolution du produit intérieur brut et de ses composantes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
par rapport au trimestre précédent en volume en %,,,,,,,,,,,,
Trimestre,Produit intérieur brut (PIB),Importations,Dépense de consommation des ménages,Dépense de consommation des APU1,Formation brute de capital fixe,dont : ,,,Exportations,Contributions :,,
,,,,,,Entreprises non financières,ménages,APU1,,Demande intérieure finale hors stocks,Variations de stocks,Commerce extérieur
2004-T4,0.89083476,1.96109483,1.5557072,0.391292724223691,1.33269272,1.66274515,0.64681089,2.17820708,2.52808084,1.17187048,-0.46415042,0.18311471
2004-T3,0.37940032,1.5016809,-0.01786048,0.269688477316121,0.47392454,0.38948641,0.8878921,0.45467007,0.17680029,0.15102982,0.57066667,-0.34229617
2004-T2,0.44243764,2.02655124,0.46737483,0.534912209064919,0.60897444,0.17197863,1.73854923,0.38934916,1.66461653,0.49110664,0.01502862,-0.06369761
2004-T1,1.06805783,1.16882007,0.6256101,0.463551708577747,0.7393824,0.6005268,0.41004214,1.30930829,1.24974253,0.58225104,0.44533714,0.04046964
2003-T4,0.35982717,1.05609472,0.27882721,0.694788671887903,-0.18383001,-0.69310416,-0.27424607,0.72489026,2.41990438,0.25624196,-0.28941712,0.39300233
2003-T3,1.0444844,1.00808586,0.5872903,0.41728540496595,2.51209247,2.8659762,2.84486381,1.1691033,-0.20725744,0.90005065,0.46801237,-0.32357862
2003-T2,-0.41248674,-0.40284931,0.1386144,0.680720979570015,-0.15698722,-0.99300033,-0.10713119,1.11216721,-1.27247598,0.16537996,-0.32357279,-0.25429391
2003-T1,0.29694446,-0.82973311,0.47444104,0.266313814819785,0.0863793,-0.77647263,0.0173761,1.61647571,-1.70414798,0.29013242,0.27218929,-0.26537726
2002-T4,0.10615113,0.66984984,0.49746166,0.774748923959834,1.25307339,1.03179555,1.05401287,1.69480451,0.71411619,0.67666355,-0.59590785,0.02539543
2002-T3,0.3795521,0.51819589,0.704552,0.544769533636558,0.41754462,0.42918617,0.21317656,0.5613074,-0.72017514,0.59143779,0.14875516,-0.36064085
2002-T2,0.50755768,1.10367963,0.6920726,0.914540160986466,0.14937386,-1.12309983,2.59155891,0.66994274,2.74668647,0.64173536,-0.63581013,0.50163245
